name,matched_alias,papers_last_12m,papers_last_36m,last_paper_date,latest_title,latest_bibcode,recent_activity_flag
K2-260b,K2 260 b,0,0,,,,False
K2-261b,K2 261 b,0,0,,,,False
K2-266b,K2 266 b,0,0,,,,False
K2-266d,K2 266 d,0,1,,,,False
K2-280b,K2 280 b,0,0,,,,False
K2-284b,K2-284b,1,1,2025-09-00,Exoplanet transits through the exoclock project in support of the Ariel space mission,2025epsc.conf.1682D,True
K2-285c,K2 285 c,0,0,,,,False
K2-287b,K2 287 b,0,0,,,,False
K2-289b,K2 289 b,0,0,,,,False
K2-295b,K2 295 b,0,0,,,,False
K2-321b,K2 321 b,0,0,,,,False
K2-329b,K2 329 b,2,3,2026-05-00,"VizieR Online Data Catalog: RV &amp; light curves of 8 gas giant systems (Espinoza-Retamal+, 2025)",2026yCat..51700070E,True
K2-333b,K2 333 b,0,0,,,,False
K2-334b,K2 334 b,0,0,,,,False
K2-344b,K2 344 b,0,0,,,,False
K2-348b,K2 348 b,0,1,,,,False
K2-353b,K2 353 b,0,0,,,,False
K2-370b,K2 370 b,0,1,,,,False
K2-403b,K2 403 b,0,0,,,,False
K2-405b,K2 405 b,0,0,,,,False
K2-406b,K2 406 b,0,0,,,,False
K2-415b,K2 415 b,0,0,,,,False
K2-417b,K2 417 b,0,0,,,,False
KELT-1b,KELT 1 b,0,3,,,,False
KELT-2Ab,KELT 2Ab,0,0,,,,False
KELT-3b,KELT 3 b,0,0,,,,False
KELT-4Ab,KELT 4Ab,0,0,,,,False
KELT-6b,KELT 6 b,0,0,,,,False
KELT-7b,KELT-7b,5,6,2026-07-00,Mitigating Charge Migration in JWST NIRISS Reveals That KELT-7 b is a Metal-enriched Ultra-hot Jupiter Orbiting a Young Metal-rich Star,2026arXiv260706708S,True
KELT-8b,KELT 8 b,0,1,,,,False
KELT-9b,KELT-9b,10,34,2026-07-00,Atmospheric characterization of six ultra-hot Jupiters from $K$-band high-resolution spectroscopy,2026arXiv260703992F,True
KELT-10b,KELT 10 b,0,0,,,,False
KELT-11b,KELT 11 b,2,3,2025-12-00,Bridging the Atmospheric Circulations of Hot and Warm Giant Exoplanets,2025ApJ...995....9S,True
KELT-12b,KELT 12 b,0,0,,,,False
KELT-14b,KELT 14 b,0,0,,,,False
KELT-15b,KELT-15b,1,3,2025-08-00,Exploring systematic errors in the inferred parameters of the transiting planet KELT-15b and its host star,2025MNRAS.541.1520D,True
KELT-16b,KELT 16 b,0,1,,,,False
KELT-17b,KELT 17 b,1,3,2026-06-00,"Cross-correlation transmission spectroscopy of ultra-hot Jupiters WASP-189b, HAT-P-57b, KELT-17b, and KELT-21b with GIANO-B",2026arXiv260627221M,True
KELT-18b,KELT 18 b,0,3,,,,False
KELT-19Ab,KELT 19Ab,0,2,,,,False
KELT-20b,KELT-20b,10,22,2026-07-00,Atmospheric characterization of six ultra-hot Jupiters from $K$-band high-resolution spectroscopy,2026arXiv260703992F,True
KELT-21b,KELT 21 b,1,1,2026-06-00,"Cross-correlation transmission spectroscopy of ultra-hot Jupiters WASP-189b, HAT-P-57b, KELT-17b, and KELT-21b with GIANO-B",2026arXiv260627221M,True
KELT-23Ab,KELT 23Ab,0,0,,,,False
KELT-24b,KELT 24 b,0,2,,,,False
KOI-12b,KOI 12 b,0,0,,,,False
KOI-13b,KOI 13 b,0,1,,,,False
KOI-94c,KOI 94 c,0,0,,,,False
KOI-94d,KOI 94 d,0,0,,,,False
KOI-94e,KOI 94 e,0,0,,,,False
KPS-1b,KPS 1 b,0,0,,,,False
Kepler-5b,Kepler-5b,1,1,2025-09-00,How rotation rate influences the phase curve of hot Jupiters: theory and observations,2025epsc.conf..907E,True
Kepler-6b,Kepler 6 b,0,0,,,,False
Kepler-7b,Kepler 7 b,0,1,,,,False
Kepler-12b,Kepler 12 b,0,0,,,,False
Kepler-14b,Kepler 14 b,0,0,,,,False
Kepler-16b,Kepler-16b,1,4,2026-06-00,Resonant Hamiltonian dynamics in the CR3BP: Bistability and stochastic resonance in binary planetary systems,2026A&A...710A.186C,True
Kepler-17b,Kepler 17 b,0,1,,,,False
Kepler-18c,Kepler-18c,1,1,2025-10-00,Has Earth ever been a super-puff planet?,2025MNRAS.543..917R,True
Kepler-18d,Kepler 18 d,0,0,,,,False
Kepler-41b,Kepler 41 b,0,1,,,,False
Kepler-63b,Kepler 63 b,0,0,,,,False
Kepler-76b,Kepler 76 b,0,0,,,,False
Kepler-91b,Kepler 91 b,1,3,2026-02-00,Calculating Instellation of Exoplanets by Extended Sources using ExoHype,2026AAS...24711404C,True
Kepler-105b,Kepler 105 b,0,0,,,,False
Kepler-138b,Kepler 138 b,0,0,,,,False
Kepler-396c,Kepler 396 c,0,0,,,,False
Kepler-411c,Kepler 411 c,0,0,,,,False
Kepler-422b,Kepler 422 b,0,0,,,,False
Kepler-435b,Kepler 435 b,0,0,,,,False
Kepler-444b,Kepler 444 b,0,0,,,,False
Kepler-444c,Kepler 444 c,0,0,,,,False
Kepler-444e,Kepler 444 e,0,0,,,,False
Kepler-447b,Kepler 447 b,0,0,,,,False
Kepler-854b,Kepler 854 b,0,0,,,,False
Kepler-1656b,Kepler 1656 b,0,3,,,,False
Kepler-1658b,Kepler 1658 b,1,4,2025-12-00,Orbital Decay Candidates Reconsidered: WASP-4 b Is Not Decaying and Kepler-1658 b Is Not a Planet,2025PSJ.....6..300W,True
L98-59b,L98 59 b,1,2,2026-06-00,Volcanism and Atmospheres of Habitable Exoplanets,2026ASTCS..1160058M,True
L98-59c,L98 59 c,0,0,,,,False
L98-59d,L98 59 d,0,2,,,,False
LHS475b,LHS475 b,0,0,,,,False
LHS1140b,LHS1140 b,0,1,,,,False
LHS1140c,LHS1140 c,0,0,,,,False
LHS1478b,LHS1478b,1,1,2025-09-00,Exoplanet transits through the exoclock project in support of the Ariel space mission,2025epsc.conf.1682D,True
LHS1678b,LHS1678 b,0,1,,,,False
LHS1678c,LHS1678 c,0,0,,,,False
LHS3844b,LHS3844 b,0,0,,,,False
LP714-47b,LP714 47 b,0,0,,,,False
LP791-18b,LP791-18b,1,1,2026-01-00,Impact of Surface Pressure on Nitrogen-Dominated USP Super-Earths Atmospheres,2026IAUS..393...53C,True
LP791-18c,LP791 18 c,0,0,,,,False
LP791-18d,LP791 18 d,0,0,,,,False
LTT1445Ab,LTT1445Ab,0,3,,,,False
LTT1445Ac,LTT1445Ac,0,0,,,,False
LTT3780b,LTT3780b,1,1,2026-07-00,A search for narrowband technosignatures from LTT 3780 with the Allen Telescope Array and the Karl G. Jansky Very Large Array,2026arXiv260707182T,True
LTT3780c,LTT3780c,1,2,2026-07-00,A search for narrowband technosignatures from LTT 3780 with the Allen Telescope Array and the Karl G. Jansky Very Large Array,2026arXiv260707182T,True
LTT9779b,LTT9779b,3,6,2026-07-00,Glossy Silicate Clouds on the Scorched Dayside of LTT9779b,2026ApJ..1005L..79S,True
MASCARA-4b,MASCARA 4 b,0,0,,,,False
MASCARA-1b,MASCARA-1b,4,8,2026-08-00,The Roasting Marshmallows Program with IGRINS on Gemini South. V. Atmosphere of MASCARA-1 b Is Enriched in Refractory Elements,2026AJ....172...83K,True
NGTS-1b,NGTS 1 b,1,1,2026-02-00,Accelerating exoplanet climate modelling: A machine learning approach to complement 3D general circulation model grid simulations,2026A&A...706A.157P,True
